date,identifier,title,year,url
1962-02-13,sim_newsweek-us_1962-02-13_59_7,Newsweek 1962-02-13,1962,https://archive.org/details/sim_newsweek-us_1962-02-13_59_7
1962-02-14,sim_newsweek-us_1962-02-14_59_7,Newsweek 1962-02-14,1962,https://archive.org/details/sim_newsweek-us_1962-02-14_59_7
1962-02-15,sim_newsweek-us_1962-02-15_59_7,Newsweek 1962-02-15,1962,https://archive.org/details/sim_newsweek-us_1962-02-15_59_7
1962-02-16,sim_newsweek-us_1962-02-16_59_7,Newsweek 1962-02-16,1962,https://archive.org/details/sim_newsweek-us_1962-02-16_59_7
1962-02-17,sim_newsweek-us_1962-02-17_59_7,Newsweek 1962-02-17,1962,https://archive.org/details/sim_newsweek-us_1962-02-17_59_7
1962-02-18,sim_newsweek-us_1962-02-18_59_7,Newsweek 1962-02-18,1962,https://archive.org/details/sim_newsweek-us_1962-02-18_59_7
1962-02-19,sim_newsweek-us_1962-02-19_59_8,Newsweek 1962-02-19,1962,https://archive.org/details/sim_newsweek-us_1962-02-19_59_8
1962-02-20,sim_newsweek-us_1962-02-20_59_8,Newsweek 1962-02-20,1962,https://archive.org/details/sim_newsweek-us_1962-02-20_59_8
1962-02-21,sim_newsweek-us_1962-02-21_59_8,Newsweek 1962-02-21,1962,https://archive.org/details/sim_newsweek-us_1962-02-21_59_8
1962-02-22,sim_newsweek-us_1962-02-22_59_8,Newsweek 1962-02-22,1962,https://archive.org/details/sim_newsweek-us_1962-02-22_59_8
1962-02-23,sim_newsweek-us_1962-02-23_59_8,Newsweek 1962-02-23,1962,https://archive.org/details/sim_newsweek-us_1962-02-23_59_8
1962-02-24,sim_newsweek-us_1962-02-24_59_8,Newsweek 1962-02-24,1962,https://archive.org/details/sim_newsweek-us_1962-02-24_59_8
1962-02-25,sim_newsweek-us_1962-02-25_59_8,Newsweek 1962-02-25,1962,https://archive.org/details/sim_newsweek-us_1962-02-25_59_8
1962-02-26,sim_newsweek-us_1962-02-26_59_9,Newsweek 1962-02-26,1962,https://archive.org/details/sim_newsweek-us_1962-02-26_59_9
1962-02-27,sim_newsweek-us_1962-02-27_59_9,Newsweek 1962-02-27,1962,https://archive.org/details/sim_newsweek-us_1962-02-27_59_9
1962-02-28,sim_newsweek-us_1962-02-28_59_9,Newsweek 1962-02-28,1962,https://archive.org/details/sim_newsweek-us_1962-02-28_59_9
1962-03-01,sim_newsweek-us_1962-03-01_59_9,Newsweek 1962-03-01,1962,https://archive.org/details/sim_newsweek-us_1962-03-01_59_9
1962-03-02,sim_newsweek-us_1962-03-02_59_9,Newsweek 1962-03-02,1962,https://archive.org/details/sim_newsweek-us_1962-03-02_59_9
1962-03-03,sim_newsweek-us_1962-03-03_59_9,Newsweek 1962-03-03,1962,https://archive.org/details/sim_newsweek-us_1962-03-03_59_9
1962-03-04,sim_newsweek-us_1962-03-04_59_9,Newsweek 1962-03-04,1962,https://archive.org/details/sim_newsweek-us_1962-03-04_59_9
1962-03-05,sim_newsweek-us_1962-03-05_59_10,Newsweek 1962-03-05,1962,https://archive.org/details/sim_newsweek-us_1962-03-05_59_10
1962-03-06,sim_newsweek-us_1962-03-06_59_10,Newsweek 1962-03-06,1962,https://archive.org/details/sim_newsweek-us_1962-03-06_59_10
1962-03-07,sim_newsweek-us_1962-03-07_59_10,Newsweek 1962-03-07,1962,https://archive.org/details/sim_newsweek-us_1962-03-07_59_10
1962-03-08,sim_newsweek-us_1962-03-08_59_10,Newsweek 1962-03-08,1962,https://archive.org/details/sim_newsweek-us_1962-03-08_59_10
1962-03-09,sim_newsweek-us_1962-03-09_59_10,Newsweek 1962-03-09,1962,https://archive.org/details/sim_newsweek-us_1962-03-09_59_10
1962-03-10,sim_newsweek-us_1962-03-10_59_10,Newsweek 1962-03-10,1962,https://archive.org/details/sim_newsweek-us_1962-03-10_59_10
1962-03-11,sim_newsweek-us_1962-03-11_59_10,Newsweek 1962-03-11,1962,https://archive.org/details/sim_newsweek-us_1962-03-11_59_10
1962-03-12,sim_newsweek-us_1962-03-12_59_11,Newsweek 1962-03-12,1962,https://archive.org/details/sim_newsweek-us_1962-03-12_59_11
1962-03-13,sim_newsweek-us_1962-03-13_59_11,Newsweek 1962-03-13,1962,https://archive.org/details/sim_newsweek-us_1962-03-13_59_11
1962-03-14,sim_newsweek-us_1962-03-14_59_11,Newsweek 1962-03-14,1962,https://archive.org/details/sim_newsweek-us_1962-03-14_59_11
1962-03-15,sim_newsweek-us_1962-03-15_59_11,Newsweek 1962-03-15,1962,https://archive.org/details/sim_newsweek-us_1962-03-15_59_11
1962-03-16,sim_newsweek-us_1962-03-16_59_11,Newsweek 1962-03-16,1962,https://archive.org/details/sim_newsweek-us_1962-03-16_59_11
1962-03-17,sim_newsweek-us_1962-03-17_59_11,Newsweek 1962-03-17,1962,https://archive.org/details/sim_newsweek-us_1962-03-17_59_11
1962-03-18,sim_newsweek-us_1962-03-18_59_11,Newsweek 1962-03-18,1962,https://archive.org/details/sim_newsweek-us_1962-03-18_59_11
1962-03-19,sim_newsweek-us_1962-03-19_59_12,Newsweek 1962-03-19,1962,https://archive.org/details/sim_newsweek-us_1962-03-19_59_12
1962-03-20,sim_newsweek-us_1962-03-20_59_12,Newsweek 1962-03-20,1962,https://archive.org/details/sim_newsweek-us_1962-03-20_59_12
1962-03-21,sim_newsweek-us_1962-03-21_59_12,Newsweek 1962-03-21,1962,https://archive.org/details/sim_newsweek-us_1962-03-21_59_12
1962-03-22,sim_newsweek-us_1962-03-22_59_12,Newsweek 1962-03-22,1962,https://archive.org/details/sim_newsweek-us_1962-03-22_59_12
1962-03-23,sim_newsweek-us_1962-03-23_59_12,Newsweek 1962-03-23,1962,https://archive.org/details/sim_newsweek-us_1962-03-23_59_12
