"","file","link","last_mod","size"
"1","__ia_thumb.jpg","https://archive.org/download/pub_newsweek-us/__ia_thumb.jpg","07-Apr-2022 15:47","5.9K"
"2","pub_newsweek-us_archive.torrent","https://archive.org/download/pub_newsweek-us/pub_newsweek-us_archive.torrent","31-Oct-2023 18:04","2.0K"
"3","pub_newsweek-us_files.xml","https://archive.org/download/pub_newsweek-us/pub_newsweek-us_files.xml","31-Oct-2023 18:04","2.0K"
"4","pub_newsweek-us_itemimage.jpg","https://archive.org/download/pub_newsweek-us/pub_newsweek-us_itemimage.jpg","07-Apr-2022 15:46","51.6K"
"5","pub_newsweek-us_meta.sqlite","https://archive.org/download/pub_newsweek-us/pub_newsweek-us_meta.sqlite","07-Apr-2022 15:47","20.0K"
"6","pub_newsweek-us_meta.xml","https://archive.org/download/pub_newsweek-us/pub_newsweek-us_meta.xml","31-Oct-2023 18:04","8.2K"
"7","pub_newsweek-us_ulrichs.json","https://archive.org/download/pub_newsweek-us/pub_newsweek-us_ulrichs.json","05-Apr-2022 19:24","17.1K"
